FID,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,X,Y,Name,num_L1,num_L2,num_DC
131,137,0.046107624270000,0.000116455100000,Kips Bay,137,Manhattan,-73.976496164500006,40.740447241399998,Midtown Manhattan,0,13,0
132,138,0.107466933510000,0.000536797290000,LaGuardia Airport,138,Queens,-73.873630052699994,40.774383979000000,Queens,0,9,0
133,139,0.093299788450000,0.000446669880000,Laurelton,139,Queens,-73.744235714200002,40.677106056400000,Queens,0,0,0
134,140,0.047584291130000,0.000114203910000,Lenox Hill East,140,Manhattan,-73.954740219100003,40.765492356400003,Upper East Side,0,20,0
135,141,0.041514463870000,0.000076654560000,Lenox Hill West,141,Manhattan,-73.959636178400004,40.766956485000001,Upper East Side,0,38,0
136,142,0.038175894230000,0.000075653790000,Lincoln Square East,142,Manhattan,-73.981533650800003,40.773641562199998,Upper West Side,0,25,0
137,143,0.054179853880000,0.000151094270000,Lincoln Square West,143,Manhattan,-73.987646995899993,40.775973498200003,Upper West Side,0,15,0
138,144,0.027620166850000,0.000047478970000,Little Italy/NoLiTa,144,Manhattan,-73.996919987900000,40.720897151700001,Downtown Manhattan,0,3,2
139,145,0.114313844980000,0.000346641730000,Long Island City/Hunters Point,145,Queens,-73.948892886699994,40.745387698800002,Queens,0,32,0
140,146,0.047140521570000,0.000104638920000,Long Island City/Queens Plaza,146,Queens,-73.934830317500001,40.754250787499998,Queens,0,6,0
141,147,0.058765494930000,0.000106418170000,Longwood,147,Bronx,-73.898957802499993,40.819684260400003,Bronx,0,0,0
142,148,0.039130501560000,0.000069748990000,Lower East Side,148,Manhattan,-73.990897705899997,40.718946617500002,Downtown Manhattan,0,15,4
143,149,0.083680582180000,0.000270639620000,Madison,149,Brooklyn,-73.948137018400004,40.604921832800002,Brooklyn,0,0,0
144,150,0.089331491180000,0.000332568040000,Manhattan Beach,150,Brooklyn,-73.943630142399996,40.580481506900000,Brooklyn,0,0,0
145,151,0.054889941100000,0.000128848900000,Manhattan Valley,151,Manhattan,-73.968169774700002,40.797970267499998,Upper West Side,0,18,0
146,152,0.057909476880000,0.000146637640000,Manhattanville,152,Manhattan,-73.953783675200000,40.817983426399998,Upper Manhattan,0,0,0
147,153,0.024737239020000,0.000032468500000,Marble Hill,153,Manhattan,-73.910380091899995,40.875976093900000,Upper Manhattan,0,0,0
148,154,0.227331570760000,0.001789686920000,Marine Park/Floyd Bennett Field,154,Brooklyn,-73.902597995199997,40.593579073199997,Brooklyn,0,0,0
149,155,0.169808473030000,0.000868261020000,Marine Park/Mill Basin,155,Brooklyn,-73.915278507400004,40.614599229600003,Brooklyn,0,0,0
150,156,0.144476890480000,0.001052121740000,Mariners Harbor,156,Staten Island,-74.167236836900003,40.631315927599999,Staten Island,0,0,1
151,157,0.131300217780000,0.000354370130000,Maspeth,157,Queens,-73.902331097300006,40.724003337200003,Queens,0,3,0
152,158,0.054809990550000,0.000185568250000,Meatpacking/West Village West,158,Manhattan,-74.008985555600006,40.735043661299997,Downtown Manhattan,0,23,0
153,159,0.064363233210000,0.000171249100000,Melrose South,159,Bronx,-73.912850823100001,40.818268027999999,Bronx,0,3,0
154,160,0.141519142970000,0.000571234980000,Middle Village,160,Queens,-73.880052816700001,40.718345031900000,Queens,0,0,0
155,161,0.035803910060000,0.000071913070000,Midtown Center,161,Manhattan,-73.977699373400000,40.758036309799998,Midtown Manhattan,0,11,0
156,162,0.035269814620000,0.000047893700000,Midtown East,162,Manhattan,-73.972357383900004,40.756695918399998,Midtown Manhattan,0,7,0
157,163,0.034176866980000,0.000040856780000,Midtown North,163,Manhattan,-73.977570124799996,40.764429673300000,Midtown Manhattan,0,24,0
158,164,0.035771611990000,0.000055631820000,Midtown South,164,Manhattan,-73.985157838700005,40.748582893500000,Midtown Manhattan,0,14,0
159,165,0.088608036210000,0.000353959320000,Midwood,165,Brooklyn,-73.956826033100000,40.620932288799999,Brooklyn,0,0,0
160,166,0.068823754290000,0.000255276270000,Morningside Heights,166,Manhattan,-73.961765037000006,40.809465238000001,Upper Manhattan,0,15,0
161,167,0.090815973730000,0.000167529390000,Morrisania/Melrose,167,Bronx,-73.902353197300002,40.827520839400002,Bronx,0,0,0
162,168,0.114517434160000,0.000547058100000,Mott Haven/Port Morris,168,Bronx,-73.916823363700004,40.807355445699997,Bronx,0,0,0
163,169,0.060104658030000,0.000146027540000,Mount Hope,169,Bronx,-73.905123643799996,40.849066663999999,Bronx,0,0,0
164,170,0.045769009110000,0.000074315070000,Murray Hill,170,Manhattan,-73.978493041500002,40.747754057900003,Midtown Manhattan,0,28,0
165,171,0.107353876240000,0.000520099540000,Murray Hill-Queens,171,Queens,-73.809547209900003,40.768359900500002,Queens,0,0,0
166,172,0.118476116150000,0.000658402500000,New Dorp/Midland Beach,172,Staten Island,-74.105020478900002,40.571777118200004,Staten Island,0,0,0
167,173,0.060063966140000,0.000178329850000,North Corona,173,Queens,-73.863038950000004,40.752587508300003,Queens,0,0,0
168,174,0.067817755960000,0.000155928660000,Norwood,174,Bronx,-73.879023670099997,40.877145895900000,Bronx,0,9,0
169,175,0.134897665100000,0.000504920730000,Oakland Gardens,175,Queens,-73.754623105899995,40.742680374499997,Queens,0,0,0
170,176,0.151995190700000,0.000657782130000,Oakwood,176,Staten Island,-74.122585506500002,40.562002457299997,Staten Island,0,0,0
171,177,0.071580540710000,0.000198894760000,Ocean Hill,177,Brooklyn,-73.913633552899995,40.676652353599998,Brooklyn,0,2,0
172,178,0.068252877070000,0.000175805410000,Ocean Parkway South,178,Brooklyn,-73.970327232599999,40.617323176100001,Brooklyn,0,0,0
173,179,0.071380864440000,0.000183893480000,Old Astoria,179,Queens,-73.928334614099995,40.771578514200002,Queens,0,0,0
174,180,0.080527767150000,0.000247682190000,Ozone Park,180,Queens,-73.847044568100003,40.675603245399998,Queens,0,1,0
175,181,0.089537239950000,0.000306890290000,Park Slope,181,Brooklyn,-73.981415178600002,40.670382574900003,Brooklyn,0,11,0
176,182,0.039360636950000,0.000091064420000,Parkchester,182,Bronx,-73.857988349099998,40.837756950399999,Bronx,0,0,0
177,183,0.039826296030000,0.000095192950000,Pelham Bay,183,Bronx,-73.831583200500006,40.849180906400001,Bronx,0,2,0
178,184,0.260815683040000,0.001988833630000,Pelham Bay Park,184,Bronx,-73.807858660700006,40.868284497300003,Bronx,0,0,0
179,185,0.086161968160000,0.000228537100000,Pelham Parkway,185,Bronx,-73.854395210700005,40.854413002100003,Bronx,0,0,0
180,186,0.024696390220000,0.000037072940000,Penn Station/Madison Sq West,186,Manhattan,-73.992438983300005,40.748505445299998,Midtown Manhattan,0,4,0
181,187,0.126868431320000,0.000421195760000,Port Richmond,187,Staten Island,-74.140788988799997,40.628175109600001,Staten Island,0,0,0
182,188,0.097798396840000,0.000313003030000,Prospect-Lefferts Gardens,188,Brooklyn,-73.947443071500004,40.658752698699999,Brooklyn,0,4,0
183,189,0.048674330650000,0.000101427590000,Prospect Heights,189,Brooklyn,-73.967588246299997,40.677643640200003,Brooklyn,0,4,0
184,190,0.074329466080000,0.000270873670000,Prospect Park,190,Brooklyn,-73.968915176199999,40.661630406000000,Brooklyn,0,0,10
185,191,0.130932637660000,0.000688460600000,Queens Village,191,Queens,-73.741533133900006,40.715462781500001,Queens,0,0,0
186,192,0.111964619710000,0.000373808020000,Queensboro Hill,192,Queens,-73.815230747699999,40.743759754599999,Queens,0,2,0
187,193,0.065529958480000,0.000145591660000,Queensbridge/Ravenswood,193,Queens,-73.941998489100001,40.760321902999998,Queens,0,0,0
188,194,0.081793835350000,0.000273481700000,Randalls Island,194,Manhattan,-73.924597727399998,40.791009056299998,Upper Manhattan,0,0,0
189,195,0.131308244070000,0.000801651950000,Red Hook,195,Brooklyn,-74.009179938399996,40.675557111300002,Brooklyn,0,4,0
190,196,0.083242110630000,0.000197471330000,Rego Park,196,Queens,-73.863339961700007,40.726163903600003,Queens,0,5,0
191,197,0.108568532230000,0.000504689160000,Richmond Hill,197,Queens,-73.830925465799993,40.694550613300002,Queens,0,2,0
192,198,0.134094242760000,0.000499809880000,Ridgewood,198,Queens,-73.901710679199994,40.706535053200000,Queens,0,2,0
193,199,0.077808500520000,0.000288747550000,Rikers Island,199,Bronx,-73.882659660700000,40.791141179100002,Bronx,0,0,0
194,200,0.112661735430000,0.000744643170000,Riverdale/North Riverdale/Fieldston,200,Bronx,-73.906988535799996,40.899537360799997,Bronx,0,0,0
195,201,0.130404117690000,0.000619350750000,Rockaway Park,201,Queens,-73.843454203099995,40.577990729400000,Queens,0,0,0
196,202,0.069921571260000,0.000106175400000,Roosevelt Island,202,Manhattan,-73.949953145199999,40.761908017899998,Midtown Manhattan,0,8,0
197,203,0.189937815870000,0.000615129860000,Rosedale,203,Queens,-73.739473919700004,40.657861672899998,Queens,0,0,0
198,204,0.101912418310000,0.000641384270000,Rossville/Woodrow,204,Staten Island,-74.207827586199997,40.540342220699998,Staten Island,0,0,0
199,205,0.141953388330000,0.000766216510000,Saint Albans,205,Queens,-73.763147494899997,40.691209707399999,Queens,0,0,0
200,206,0.212756793390000,0.000944392510000,Saint George/New Brighton,206,Staten Island,-74.102313978400005,40.638980443700000,Staten Island,0,5,0
201,207,0.028375683150000,0.000044723080000,Saint Michaels Cemetery/Woodside,207,Queens,-73.899353981800004,40.763993859000003,Queens,0,0,0
202,208,0.214721009580000,0.002020325990000,Schuylerville/Edgewater Park,208,Bronx,-73.823541515700001,40.823326868300001,Bronx,0,0,0
203,209,0.030695311350000,0.000038870340000,Seaport,209,Manhattan,-74.003666010800004,40.709080998499999,Downtown Manhattan,0,7,0
204,210,0.114851983370000,0.000453155130000,Sheepshead Bay,210,Brooklyn,-73.940508587200000,40.592031699300001,Brooklyn,0,2,0
205,211,0.025234508210000,0.000039729200000,SoHo,211,Manhattan,-74.001539013400006,40.723896368799998,Downtown Manhattan,0,8,0
206,212,0.067129065340000,0.000161276190000,Soundview/Bruckner,212,Bronx,-73.869681068899993,40.827910432300001,Bronx,0,0,0
207,213,0.159958783820000,0.000904077910000,Soundview/Castle Hill,213,Bronx,-73.858136395299994,40.817866839899999,Bronx,0,4,0
208,214,0.135300314250000,0.000811976520000,South Beach/Dongan Hills,214,Staten Island,-74.085513824600000,40.586794861900003,Staten Island,0,9,0
209,215,0.103556453630000,0.000395647020000,South Jamaica,215,Queens,-73.790965310800004,40.694435814400002,Queens,0,0,0
210,216,0.116797554680000,0.000816076650000,South Ozone Park,216,Queens,-73.819461023399995,40.676162292900003,Queens,0,0,0
211,217,0.055390525130000,0.000114733270000,South Williamsburg,217,Brooklyn,-73.958598277899995,40.703924696800001,Brooklyn,0,0,0
212,218,0.083700828100000,0.000281293740000,Springfield Gardens North,218,Queens,-73.773037027499996,40.672097963299997,Queens,0,0,0
213,219,0.155126669670000,0.000428176340000,Springfield Gardens South,219,Queens,-73.764507153699995,40.662193135599999,Queens,0,0,0
214,220,0.106015943270000,0.000313035740000,Spuyten Duyvil/Kingsbridge,220,Bronx,-73.910666103899999,40.882411406099997,Bronx,0,8,0
215,221,0.166218220850000,0.000890111570000,Stapleton,221,Staten Island,-74.073705909799997,40.618777514300000,Staten Island,0,0,0
216,222,0.048389352800000,0.000130268340000,Starrett City,222,Brooklyn,-73.882414330700001,40.647535282200003,Brooklyn,0,0,0
217,223,0.166021925280000,0.000764360700000,Steinway,223,Queens,-73.905409154300003,40.777435193099997,Queens,0,8,0
218,224,0.044020446280000,0.000098478700000,Stuy Town/Peter Cooper Village,224,Manhattan,-73.976599113500001,40.731828897200003,Midtown Manhattan,0,0,0
219,225,0.088799207330000,0.000310835400000,Stuyvesant Heights,225,Brooklyn,-73.931889687699993,40.688176441099998,Brooklyn,0,0,0
220,226,0.168957762040000,0.000761944150000,Sunnyside,226,Queens,-73.924674489799997,40.737707220600001,Queens,0,6,0
221,227,0.082830157080000,0.000268316530000,Sunset Park East,227,Brooklyn,-74.004653502899998,40.641894558300002,Brooklyn,0,0,0
222,228,0.177685177710000,0.000993414780000,Sunset Park West,228,Brooklyn,-74.011272616200003,40.652362893899998,Brooklyn,0,4,0
223,229,0.042525290010000,0.000094705820000,Sutton Place/Turtle Bay North,229,Manhattan,-73.965147237300002,40.756737208099999,Midtown Manhattan,0,37,0
224,230,0.031028309680000,0.000056091450000,Times Sq/Theatre District,230,Manhattan,-73.984197933499999,40.759825883600001,Midtown Manhattan,0,30,0
225,231,0.063420116560000,0.000166929750000,TriBeCa/Civic Center,231,Manhattan,-74.007881158100005,40.717780993600002,Downtown Manhattan,0,26,0
226,232,0.061470908530000,0.000216049970000,Two Bridges/Seward Park,232,Manhattan,-73.983025999600002,40.714740764500000,Downtown Manhattan,0,3,0
227,233,0.048035918290000,0.000116188090000,UN/Turtle Bay South,233,Manhattan,-73.970444008100003,40.749922342799998,Midtown Manhattan,0,17,4
228,234,0.036072199500000,0.000073105440000,Union Sq,234,Manhattan,-73.990459268699993,40.740345704100001,Midtown Manhattan,0,25,0
229,235,0.076166842650000,0.000212844550000,University Heights/Morris Heights,235,Bronx,-73.915976852800000,40.852529436200001,Bronx,0,0,0
230,236,0.044251922310000,0.000102864350000,Upper East Side North,236,Manhattan,-73.957013135300002,40.780444708600001,Upper East Side,0,33,0
231,237,0.042212600340000,0.000095987320000,Upper East Side South,237,Manhattan,-73.965635974300000,40.768623452600004,Upper East Side,0,44,0
232,238,0.060109311400000,0.000184763690000,Upper West Side North,238,Manhattan,-73.973050343400004,40.791713207400001,Upper West Side,1,30,0
233,239,0.063626115300000,0.000204715440000,Upper West Side South,239,Manhattan,-73.978633392500001,40.783969701600000,Upper West Side,0,13,4
234,240,0.146069764380000,0.000722130920000,Van Cortlandt Park,240,Bronx,-73.881979497399996,40.894607423799997,Bronx,0,0,0
235,241,0.068764577760000,0.000254676980000,Van Cortlandt Village,241,Bronx,-73.895621440900001,40.876520667699999,Bronx,0,0,0
236,242,0.138136446430000,0.000360072450000,Van Nest/Morris Park,242,Bronx,-73.850671983900000,40.846791183900002,Bronx,0,0,0
237,243,0.094331499940000,0.000438377340000,Washington Heights North,243,Manhattan,-73.932832921400006,40.857116570499997,Upper Manhattan,0,11,0
238,244,0.080568604460000,0.000359702750000,Washington Heights South,244,Manhattan,-73.941400541400000,40.841717054999997,Upper Manhattan,0,8,0
239,245,0.095983059660000,0.000466175410000,West Brighton,245,Staten Island,-74.102861584699994,40.630057628599999,Staten Island,0,2,0
240,246,0.069467193740000,0.000281298330000,West Chelsea/Hudson Yards,246,Manhattan,-74.004016575600005,40.753317330400002,Midtown Manhattan,0,20,0
241,247,0.092967858230000,0.000205617160000,West Concourse,247,Bronx,-73.924410162100003,40.828996512499998,Bronx,0,2,0
242,248,0.056919116770000,0.000149592770000,West Farms/Bronx River,248,Bronx,-73.872290685999999,40.834173601700002,Bronx,0,0,0
243,249,0.036384343650000,0.000072215600000,West Village,249,Manhattan,-74.002876407900004,40.734584268100001,Downtown Manhattan,0,7,0
244,250,0.079626346550000,0.000240975850000,Westchester Village/Unionport,250,Bronx,-73.848642105899998,40.832109944899997,Bronx,0,0,0
245,251,0.137711161100000,0.000625754980000,Westerleigh,251,Staten Island,-74.125349279199995,40.616888241100000,Staten Island,0,0,0
246,252,0.158004373560000,0.001025264060000,Whitestone,252,Queens,-73.815658204800002,40.788201294600000,Queens,0,0,0
247,253,0.036051499820000,0.000078339580000,Willets Point,253,Queens,-73.841245337600000,40.760639023700001,Queens,0,0,0
248,254,0.085886375490000,0.000360040220000,Williamsbridge/Olinville,254,Bronx,-73.858949651399996,40.882165377699998,Bronx,0,2,0
249,255,0.062384199770000,0.000172309180000,Williamsburg (North Side),255,Brooklyn,-73.957419564500000,40.718812177399997,Brooklyn,0,14,0
250,256,0.067914966960000,0.000168611100000,Williamsburg (South Side),256,Brooklyn,-73.959906060899996,40.710888191000002,Brooklyn,0,6,0
251,257,0.058669025980000,0.000138909470000,Windsor Terrace,257,Brooklyn,-73.977983849300003,40.653620117099997,Brooklyn,0,2,1
252,258,0.089013378770000,0.000366209620000,Woodhaven,258,Queens,-73.855768158800004,40.688729613900001,Queens,0,0,0
253,259,0.126750305190000,0.000394552490000,Woodlawn/Wakefield,259,Bronx,-73.852216864200003,40.897940323299999,Bronx,0,0,0
254,260,0.133514154640000,0.000422345330000,Woodside,260,Queens,-73.906307860499993,40.744242983900001,Queens,0,2,0
255,261,0.027120456360000,0.000034342320000,World Trade Center,261,Manhattan,-74.013024222300004,40.709147196099998,Downtown Manhattan,0,0,0
256,262,0.049063623150000,0.000122330270000,Yorkville East,262,Manhattan,-73.946511789300004,40.775940673999997,Upper East Side,0,24,0
257,263,0.037016625300000,0.000065769770000,Yorkville West,263,Manhattan,-73.951011309699993,40.778774126700000,Upper East Side,0,31,0